Pixel	Wavelength	
881.0	584.565302606	
882.0	584.79450471	
883.0	585.023706115	
884.0	585.252906823	
885.0	585.482106832	
886.0	585.711306144	
887.0	585.940504758	
888.0	586.169702673	
889.0	586.398899891	
890.0	586.628096411	
891.0	586.857292232	
892.0	587.086487356	
893.0	587.315681782	
894.0	587.544875509	
895.0	587.774068539	
896.0	588.003260871	
897.0	588.232452505	
898.0	588.46164344	
899.0	588.690833678	
900.0	588.920023218	
901.0	589.14921206	
902.0	589.378400204	
903.0	589.60758765	
904.0	589.836774398	
905.0	590.065960448	
906.0	590.2951458	
907.0	590.524330454	
908.0	590.75351441	
909.0	590.982697668	
910.0	591.211880228	
911.0	591.44106209	
912.0	591.670243254	
913.0	591.89942372	
914.0	592.128603488	
915.0	592.357782558	
916.0	592.58696093	
917.0	592.816138605	
918.0	593.045315581	
919.0	593.274491859	
920.0	593.503667439	
921.0	593.732842322	
922.0	593.962016506	
923.0	594.191189992	
924.0	594.42036278	
925.0	594.649534871	
926.0	594.878706263	
927.0	595.107876958	
928.0	595.337046954	
929.0	595.566216252	
930.0	595.795384853	
931.0	596.024552755	
932.0	596.25371996	
933.0	596.482886466	
934.0	596.712052275	
935.0	596.941217385	
936.0	597.170381798	
937.0	597.399545513	
938.0	597.628708529	
939.0	597.857870848	
940.0	598.087032468	
941.0	598.316193391	
942.0	598.545353616	
943.0	598.774513142	
944.0	599.003671971	
945.0	599.232830102	
946.0	599.461987535	
947.0	599.691144269	
948.0	599.920300306	
949.0	600.149455645	
950.0	600.378610286	
951.0	600.607764229	
952.0	600.836917474	
953.0	601.066070021	
954.0	601.29522187	
955.0	601.52437302	
956.0	601.753523473	
957.0	601.982673228	
958.0	602.211822285	
959.0	602.440970644	
960.0	602.670118305	
961.0	602.899265269	
962.0	603.128411534	
963.0	603.357557101	
964.0	603.58670197	
965.0	603.815846141	
966.0	604.044989614	
967.0	604.274132389	
968.0	604.503274467	
969.0	604.732415846	
970.0	604.961556527	
971.0	605.19069651	
972.0	605.419835796	
973.0	605.648974383	
974.0	605.878112272	
975.0	606.107249463	
976.0	606.336385957	
977.0	606.565521752	
978.0	606.79465685	
979.0	607.023791249	
980.0	607.25292495	
981.0	607.482057954	
982.0	607.711190259	
983.0	607.940321867	
984.0	608.169452776	
985.0	608.398582988	
986.0	608.627712502	
987.0	608.856841317	
988.0	609.085969435	
989.0	609.315096854	
990.0	609.544223576	
991.0	609.7733496	
992.0	610.002474925	
993.0	610.231599553	
994.0	610.460723483	
995.0	610.689846714	
996.0	610.918969248	
997.0	611.148091084	
998.0	611.377212222	
999.0	611.606332662	
1000.0	611.835452403	
1001.0	612.064571447	
1002.0	612.293689793	
1003.0	612.522807441	
1004.0	612.751924391	
1005.0	612.981040643	
1006.0	613.210156197	
1007.0	613.439271053	
1008.0	613.668385211	
1009.0	613.897498671	
1010.0	614.126611433	
1011.0	614.355723497	
1012.0	614.584834863	
1013.0	614.813945531	
1014.0	615.043055501	
1015.0	615.272164773	
1016.0	615.501273348	
1017.0	615.730381224	
1018.0	615.959488402	
1019.0	616.188594882	
1020.0	616.417700664	
1021.0	616.646805749	
1022.0	616.875910135	
1023.0	617.105013823	
